context,feature,classifier,accuracy,f1_macro
sent_ctx,embed_l6,LogisticRegression,0.4868995633187773,0.3368050283675732
sent_ctx,embed_l6,LinearSVC,0.4672489082969432,0.3316869415022529
sent_ctx,embed_l7,LogisticRegression,0.49344978165938863,0.3475679937105717
sent_ctx,embed_l7,LinearSVC,0.4847161572052402,0.35211473166441115
sent_ctx,embed_l8,LogisticRegression,0.48253275109170307,0.372389505342665
sent_ctx,embed_l8,LinearSVC,0.4650655021834061,0.3526285627636202
sent_ctx,embed_l9,LogisticRegression,0.5043668122270742,0.38968344719532855
sent_ctx,embed_l9,LinearSVC,0.48034934497816595,0.37443954633808463
sent_ctx,embed_l10,LogisticRegression,0.4978165938864629,0.3473478071899316
sent_ctx,embed_l10,LinearSVC,0.4868995633187773,0.35488293969896173
sent_ctx,embed_l11,LogisticRegression,0.5032751091703057,0.35038216463956984
sent_ctx,embed_l11,LinearSVC,0.49672489082969434,0.3526694799958128
sent_att,att_l6_svd400_embed,LogisticRegression,0.44541484716157204,0.3344201299383335
sent_att,att_l6_svd400_embed,LinearSVC,0.4104803493449782,0.3214894473470891
sent_att,att_l7_svd400_embed,LogisticRegression,0.44868995633187775,0.3619506052681713
sent_att,att_l7_svd400_embed,LinearSVC,0.3951965065502183,0.31609413800792874
sent_att,att_l8_svd400_embed,LogisticRegression,0.43013100436681223,0.3288785467294948
sent_att,att_l8_svd400_embed,LinearSVC,0.3875545851528384,0.29733792268553877
sent_att,att_l9_svd400_embed,LogisticRegression,0.43122270742358076,0.3448365605523388
sent_att,att_l9_svd400_embed,LinearSVC,0.38318777292576417,0.296877130802337
sent_att,att_l10_svd400_embed,LogisticRegression,0.4781659388646288,0.4003678404906362
sent_att,att_l10_svd400_embed,LinearSVC,0.41593886462882096,0.3530910231347565
sent_att,att_l11_svd400_embed,LogisticRegression,0.462882096069869,0.3871517465423675
sent_att,att_l11_svd400_embed,LinearSVC,0.4093886462882096,0.34336306435472286
conc_ctx,embed_conc_l6,LogisticRegression,0.5065502183406113,0.41016446180812904
conc_ctx,embed_conc_l6,LinearSVC,0.490174672489083,0.36311632814575723
conc_ctx,embed_conc_l7,LogisticRegression,0.5141921397379913,0.39660363845840735
conc_ctx,embed_conc_l7,LinearSVC,0.490174672489083,0.34316393111232973
conc_ctx,embed_conc_l8,LogisticRegression,0.5010917030567685,0.38707069419685997
conc_ctx,embed_conc_l8,LinearSVC,0.48580786026200873,0.3715123354242598
conc_ctx,embed_conc_l9,LogisticRegression,0.4847161572052402,0.3432690781230664
conc_ctx,embed_conc_l9,LinearSVC,0.47707423580786024,0.3513999956533617
conc_ctx,embed_conc_l10,LogisticRegression,0.5010917030567685,0.3810650380643217
conc_ctx,embed_conc_l10,LinearSVC,0.4868995633187773,0.4024521231248168
conc_ctx,embed_conc_l11,LogisticRegression,0.4890829694323144,0.33296042695776806
conc_ctx,embed_conc_l11,LinearSVC,0.4596069868995633,0.3857105937891104
conc_att,att_conc_l6_svd400_embed,LogisticRegression,0.45414847161572053,0.38162742415508366
conc_att,att_conc_l6_svd400_embed,LinearSVC,0.39192139737991266,0.31669883858525766
conc_att,att_conc_l7_svd400_embed,LogisticRegression,0.4421397379912664,0.3574937075480281
conc_att,att_conc_l7_svd400_embed,LinearSVC,0.4115720524017467,0.326944241938582
conc_att,att_conc_l8_svd400_embed,LogisticRegression,0.43122270742358076,0.33656243855260287
conc_att,att_conc_l8_svd400_embed,LinearSVC,0.36790393013100436,0.29299166360919493
conc_att,att_conc_l9_svd400_embed,LogisticRegression,0.45633187772925765,0.3601219463599235
conc_att,att_conc_l9_svd400_embed,LinearSVC,0.4115720524017467,0.3250350519528147
conc_att,att_conc_l10_svd400_embed,LogisticRegression,0.4890829694323144,0.37778298771975044
conc_att,att_conc_l10_svd400_embed,LinearSVC,0.40829694323144106,0.33090929144620285
conc_att,att_conc_l11_svd400_embed,LogisticRegression,0.4366812227074236,0.35006059179094806
conc_att,att_conc_l11_svd400_embed,LinearSVC,0.3700873362445415,0.2795057980507258
